#Header: Date: 03/04/2024 17:33:33; FaturePckg-Version: V1; This table holds the features extracted from the texts; WebPckg-Version:V1.0
DOC,S_LETTER_STRING_CNT,S_LETTER_STRING_TYPES_CNT,S_LETTER_STRING_TTR,S_SENTENCE_LENGTH_AVG,S_LETTER_STRING_LENGTH_AVG,S_FREQ_AVG,S_PUNCTUATION_PuncToLetterStrings_,M_PREFIX_P,M_NOUN_SUFFIX_P,M_CONJUNCTION_P,M_COORDINATE_P,M_SUBORDINATE_P,M_PREPOSITION_P,M_POS_P_Noun_,M_POS_P_Adjective_,M_POS_P_Pronoun_,M_POS_P_Adverb_,M_POS_P_Quantifier_,M_POS_P_Determiner_,M_POS_P_Verb_,M_POS_P_Existential_,M_PERSONAL_PRONOUN_P,M_BINYAN_P_Paal_,M_BINYAN_P_Niphal_,M_BINYAN_P_Piel_,M_BINYAN_P_Pual_,M_BINYAN_P_Hitpael_,M_BINYAN_P_Hiphil_,M_BINYAN_P_Huphal_,M_BINYAN_P_Nitpael_,M_CONTENT_P,M_TENSE_P_Past_,M_TENSE_P_Future_,M_TENSE_P_Part_,M_TENSE_P_InfConst_,M_TENSE_P_InfAbs_,M_IMPERATIVE_PHRASE_P,M_LEXEME_FREQ_AVG,M_LEXEME_FREQ_LOW_P,M_LEXEME_TYPE_FREQ_AVG,M_LEXEME_TYPE_FREQ_LOW_P,M_MORPH_DICT_POSSIBLE_LEXEME_AVG,
,"כמות מחרוזות עבריות (תמניות)","כמות מחרוזות עבריות נבדלות (תבניות)","יחס תבניות לתמניות של מחרוזות עבריות","ממוצע אורכי משפטים (נספרות מחרוזות עבריות בלבד)","ממוצע אורכי מחרוזות עבריות","ממוצע שכיחות מחרוזת עבריות (תמניות) (השכיחות מבוססת על קורפוס בן כמיליון מילה [M1] ומחושבת על פי נוסחה לוגריתמית. הטווח האמפירי של סולם השכיחות הוא 53.6-10. מחרוזות שאינן בקורפוס מקבלות ערך מינימלי.)","שיעור סימני פיסוק ביחס למחרוזות עבריות","אחוז המחרוזות העבריות הכוללות תחילית","אחוז מחרוזות עבריות שהן שמות עצם בעלי כינוי חבור","שיעור מיליות קישור (חיבור ושעבוד, לרבות תחיליות), ביחס לכלל המחרוזות העבריות","שיעור מיליות חיבור (לרבות תחיליות), ביחס לכלל המחרוזות העבריות","שיעור מיליות שעבוד (לרבות תחיליות), ביחס לכלל המחרוזות העבריות","שיעור מיליות יחס (לרבות תחיליות יחס), ביחס לכלל המחרוזות העבריות","אחוז מחרוזות עבריות שהן שמות עצם","אחוז מחרוזות עבריות שהן שמות תואר","אחוז מחרוזות עבריות שהן כינויים","אחוז מחרוזות עבריות שהן תוארי פועל","אחוז מחרוזות עבריות שהן כמתים","אחוז מחרוזות עבריות שהן מתחמים (determiners)","אחוז מחרוזות עבריות שהן פעלים","אחוז מחרוזות עבריות שהן מילות קיום","אחוז מחרוזות עבריות שהן כינויי גוף (פרודים)","אחוז פעלים בבניין פעל (מתוך כלל הפעלים העבריים)","אחוז פעלים בבניין נפעל (מתוך כלל הפעלים העבריים)","אחוז פעלים בבניין פיעל (מתוך כלל הפעלים העבריים)","אחוז פעלים בבניין פועל (מתוך כלל הפעלים העבריים)","אחוז פעלים בבניין התפעל (מתוך כלל הפעלים העבריים)","אחוז פעלים בבניין הפעיל (מתוך כלל הפעלים העבריים)","אחוז פעלים בבניין הופעל (מתוך כלל הפעלים העבריים)","אחוז פעלים בבניין נתפעל (מתוך כלל הפעלים העבריים)","אחוז מחרוזות עבריות שהן מילות תוכן (פעלים; שמות-עצם; שמות-תואר; תוארי-פועל; חג"מים; שמות פרטיים; מילים לועזיות; מילים תחיליות; מספרים)","אחוז פעלים בצורת עבר (מתוך כלל הפעלים העבריים)","אחוז פעלים בצורת עתיד (מתוך כלל הפעלים העבריים)","אחוז פעלים בצורת הווה (מתוך כלל הפעלים העבריים)","אחוז פעלים בצורת מקור נטוי (מתוך כלל הפעלים העבריים)","אחוז פעלים בצורת מקור מוחלט (מתוך כלל הפעלים העבריים)","","ממוצע שכיכות לקסמות עבריות מנותחות (תמניות; שמות פרטיים אינם נכללים בחישוב) (השכיחות מבוססת על קורפוס בן כמיליון מילה [M1] שנותח באופן אוטומטי, והיא מחושבת על פי נוסחה לוגריתמית. הטווח האמפירי של סולם השכיחות הוא 54.8-10. לקסמות שאינן בקורפוס מקבלות ערך מינימלי.)","אחוז לקסמות עבריות מנותחות נדירות (תמניות) (עד X מופעים בקורפוס בן כמיליון מילה [M1] שנותח באופן אוטומטי; לקסמות שאינן בקורפוס מקבלות ערך מינימלי; שמות פרטיים אינם נכללים בחישוב)","ממוצע שכיחות של לקסמות עבריות מנותחות נבדלות (תבניות; שמות פרטיים אינם נכללים בחישוב) (השכיחות מבוססת על קורפוס בן כמיליון מילה [M1] שנותח באופן אוטומטי, והיא מחושבת על פי נוסחה לוגריתמית. הטווח האמפירי של סולם השכיחות הוא 54.8-10. לקסמות שאינן בקורפוס מקבלות ערך מינימלי.)","אחוז לקסמות עבריות מנותחות נבדלות (תבניות) נדירות (עד X מופעים בקורפוס בן כמיליון מילה [M1] שנותח באופן אוטומטי; לקסמות שאינן בקורפוס מקבלות ערך מינימלי; שמות פרטיים אינם נכללים בחישוב), מתוך כלל הלקסמות העבריות המנותחות הנבדלות","מספר ממוצע של לקסמות נבדלות מתוך הפירושים האפשריים למחרוזת עברית",
אבא היה אבן מתגלגלת  ,259,202,0.77992277992278,6.31707317073171,3.94208494208494,28.8176833976834,0.0694980694980695,0.231660231660232,0.00386100386100386,0.0501930501930502,0.0386100386100386,0.0115830115830116,0.185328185328185,0.231660231660232,0.0424710424710425,0.0965250965250965,0.0501930501930502,0.027027027027027,0.00772200772200772,0.227799227799228,0.00772200772200772,0.0347490347490347,0.745762711864407,0.0508474576271186,0.0508474576271186,0,0.0169491525423729,0.11864406779661,0.0169491525423729,0,0.691119691119691,0.23728813559322,0.186440677966102,0.23728813559322,0.254237288135593,0,0.0193050193050193,37.8567555555555,0.0888888888888889,33.1897260273972,0.123287671232877,3.46332046332046,
