Year/Initial Segment,Number of Songs,Segment
1920's,3,S1
1930's,6,S2
1940's,15,S3
1950's,3,S4
1960's,2,S5
1970's,3,S6
1980's,2,S7
1990's,5,S8
2000's,3,S9
2010's,9,S10
2020's,7,S11
